"D4B61"	"D4B62"	"D4B63"	"D4KO1"	"D4KO2"	"D4KO3"	"D6B61"	"D6B62"	"D6B63"	"D6KO1"	"D6KO2"	"D6KO3"
"1110034G24Rik"	4.05292476484038	4.14099417092785	3.84172238618649	3.53871857471191	4.05322155224341	3.89285237734616	5.63741683482156	5.41582624291135	5.44237788548708	5.38278336660947	5.06593092155716	5.07179079708586
"1110037F02Rik"	7.17245090018329	6.93232042576512	7.1086949344108	6.95831098595363	7.0276550360056	6.95299205775155	6.6465979952707	6.79378627376778	6.76438115063047	6.81653891350401	6.85209697906699	6.91991413007872
"1110038B12Rik"	4.52452582133252	4.89605443959811	4.79967602124866	5.51816435496638	5.36172567181102	5.21042311984621	4.38333149583944	4.43647674911577	4.41781409434288	4.60355564769589	4.22779867785266	4.39216289667726
"1110038F14Rik"	5.12449000949333	5.26088415054457	5.31264902661974	5.34402011418217	5.42615472502029	5.21583474483447	5.64366743715072	5.87092539853647	5.60175394561198	5.69022457782681	5.3271208730325	5.61513019802576
"1110051M20Rik"	2.93874718910259	3.18195142571992	3.3469910169582	2.91562295316381	3.01763428762987	2.44344796028406	3.60528975021917	3.88263036981586	3.92599749164033	3.53632552632108	3.59560384012756	4.08173225080502
"1110059E24Rik"	5.32006367696139	5.41451507300009	5.46165914856246	5.32185984051516	5.49285150479837	5.35149134186939	4.88337183692089	4.98791593021703	5.0585321574187	5.03410081831656	4.95966424884942	4.97178938138423
"1110059G10Rik"	3.98762267257896	4.30177471244309	4.17098871931432	4.03281439226401	4.05774771776907	4.15942866449199	4.59488451728259	4.40324486215863	4.34897960827451	4.40054016411708	4.17519388624605	4.16361354389589
"1110065P20Rik"	1.07069719190441	1.89800240414862	1.41225982961056	0.821314294282216	1.33155518561085	0.971460665935372	1.0841415318301	1.14025808459715	2.01654360241736	1.60223634542955	0.974163221699664	1.75009979664398
"1190002F15Rik"	6.3933323172024	6.382966416051	6.46233394213156	6.10082487161581	6.12103266331419	6.19563973037909	5.53353863442861	5.82565459717686	5.56580668080826	5.03163352943547	5.22259957597135	5.58572754012304
"1190002N15Rik"	3.00277262995039	2.55001697561129	2.98274959863021	2.77045249930794	2.54974149114105	2.93841580977787	2.63845172549398	3.25479605678967	3.21326926207803	2.30442457743468	2.15868955724785	3.45216858233452
"1190007I07Rik"	4.25922703725516	4.11648982565731	4.16230396392116	4.17557991542423	4.52138932591499	4.45926289738378	4.47381512640541	4.2413442644016	4.30604520954333	4.24309994322421	4.25109022983326	4.46215075368502
"1200014J11Rik"	6.04281264723947	6.02534298710828	6.12288508245451	5.9524622295698	6.07153553878591	5.92643464120198	5.43066170276596	5.58013791125695	5.64402808834991	5.77379622115943	5.81523163527813	5.50076196960421
"1300002E11Rik"	4.6520078621175	5.19219493377298	5.06026427652255	4.72404487938742	4.75949772993426	4.89672906609454	5.39219914616359	5.60795420771547	5.32542094947732	5.54727135177511	4.97093073509252	5.23850919821826
"1500004A13Rik"	1.2918309666119	1.6474087141258	1.578151305643	0.903194754285443	0.878603115872249	1.24990283971733	2.50749009642158	2.49968830954602	2.55790241541124	2.48839970790353	2.39450337972995	2.62421114962444
"1500009L16Rik"	3.56120938892141	3.68801563283781	4.23450958412228	4.69847199246532	4.21595308609128	5.4014234547653	0.198515987642084	-0.260859887677575	-0.835071163338844	1.8237581316227	2.19757320993625	1.03237840817162
"1500011B03Rik"	4.25046271775316	4.48840345316684	4.79125129078218	4.05089076662964	4.16232214719788	4.0424767197898	5.03610441776663	5.3002308441851	5.24624919686669	4.79901000403623	4.96530848991113	5.08819233387705
"1500011K16Rik"	3.21585890949047	3.53000026891667	3.53364826347648	3.57039283163182	3.56733369733366	3.46010356819038	5.07593857103338	4.8522130608559	4.77607765901472	4.73675504054341	4.25109022983326	4.64431545745609
"1500012F01Rik"	5.39752734314088	5.57599169527077	5.5772402009233	6.12448939180095	5.99217997884098	5.88627279050477	6.5248983392991	6.36280723019176	6.13896342266752	6.37089741424111	5.78043611506295	5.92659650494194
"1500015A07Rik"	1.99811453418617	1.83931550359092	2.23745460179203	1.40278307050466	1.23893569690451	1.59816908273052	2.04241286510381	1.76954536788905	2.15201602642598	2.36839209020663	2.21662897091795	2.22719987115031
"1600002H07Rik"	3.57531523323537	3.90385294400311	3.5865395814153	3.74709091194913	3.71217954987139	3.6479704642672	2.22022785808841	2.91040792560087	2.75167932897538	2.67702865299988	2.78757673666617	2.67473376192591
"1600002K03Rik"	4.25339007745425	4.40991615342359	4.10000121278714	4.45550717997845	4.48488410287688	4.47137941949691	4.8377587487525	4.44012236879905	4.50265353817886	4.31790454620773	4.17031513577557	4.11869880112468
"1600012H06Rik"	4.24459011822231	4.05334374954077	4.28738572753123	4.15900886523242	4.16232214719788	4.51593107598023	4.70955821510089	4.42180144300258	4.46411579533951	4.63640314456709	4.53157030569891	4.47289757803129
"1600014C10Rik"	6.14801481134359	6.15130717532677	5.99299736864657	5.80449333729898	5.84283405648239	5.79521907443176	7.1872545624461	6.85104819147163	7.15303474929332	7.02377984811864	6.68684941025504	6.60601957759376
"1600020E01Rik"	3.93024174547491	3.57265801284015	3.64381276246154	3.41856274392513	3.34096346524145	3.83775933885231	4.71253445721275	4.47608067691635	4.69242090355669	4.63640314456709	3.92593570967986	4.34614410024988
"1700001G11Rik"	0.604595124815716	-0.312629310844627	1.08473318470577	0.381471386457451	-0.769462465876186	0.0471256324166418	1.3518422939018	1.2440091277151	1.13996454715452	0.660350122854129	-0.10831385383725	1.17959446224842
"1700007L15Rik"	2.5954421699499	2.78583772348853	2.60099016282819	2.10269741460544	2.82929179849453	2.14372617365424	2.4372634133319	3.07889075604867	3.3033461872186	3.38990353761364	2.69549513610468	3.03527952589833
"1700008J07Rik"	1.59849961161316	0.95916016214531	0.929610372277538	1.05420841881318	1.41858561011247	1.35827142994627	0.609517846891581	0.728015255415046	0.542849047108008	0.938391127128485	0.620653519275233	0.351981401162818
"1700010I14Rik"	2.1936683078138	1.99080157021068	2.0046534273995	1.91807238694436	1.50066329102455	2.2318333537793	1.79532707900089	1.8374664420302	2.61764616778354	2.14920026163338	2.25400162860868	2.37201948174
"1700017B05Rik"	6.23129243999519	6.45639935979253	6.34059601637288	6.96249488179214	6.89735754531791	6.98662188433164	5.5896536224758	5.86144049312874	5.96243010545447	5.89276364268809	6.17320695139752	6.26014361801078
"1700019D03Rik"	-2.95678354823489	-2.24530321115858	-1.16726329309412	-1.88474611368711	-1.86961493214764	-1.38131020875018	0.969391214321694	0.408876427484346	1.17219948292916	1.09783938707155	0.782862677228071	1.43541839415056
"1700019G17Rik"	3.88187851499374	3.82034002612618	3.4995786219017	3.81741463615847	3.71791031865613	4.09432380451938	3.85196538051489	4.25796372937961	4.01755307443901	3.93521021039225	3.93171319416019	3.78673732840859
"1700019L03Rik"	-0.212005503589156	-0.226518510283728	0.389734082089896	-0.919312331457543	-0.769462465876186	-2.71818997858563	-0.28047720476146	1.92332299824983	1.26479577264297	-2.0784356299971	0.562261020213286	1.4058135320078
