"D4B61"	"D4B62"	"D4B63"	"D4KO1"	"D4KO2"	"D4KO3"	"D6B61"	"D6B62"	"D6B63"	"D6KO1"	"D6KO2"	"D6KO3"
"1110034G24Rik"	3.49612751824764	3.5841969243351	3.28492513959375	2.98192132811917	3.49642430565067	3.33605513075342	5.08061958822882	4.8590289963186	4.88558063889433	4.82598612001672	4.50913367496442	4.51499355049312
"1110037F02Rik"	4.34158714343153	4.10145666901336	4.27783117765904	4.12744722920188	4.19679127925385	4.12212830099979	3.81573423851894	3.96292251701602	3.93351739387871	3.98567515675225	4.02123322231524	4.08905037332696
"1110038B12Rik"	5.28818628216415	5.65971490042974	5.56333648208028	6.28182481579801	6.12538613264264	5.97408358067784	5.14699195667107	5.2001372099474	5.18147455517451	5.36721610852752	4.99145913868429	5.15582335750889
"1110038F14Rik"	4.99883890783181	5.13523304888305	5.18699792495822	5.21836901252065	5.30050362335877	5.09018364317295	5.5180163354892	5.74527429687495	5.47610284395046	5.56457347616529	5.20146977137098	5.48947909636424
"1110051M20Rik"	1.95397557671716	2.19717981333449	2.36221940457278	1.93085134077839	2.03286267524444	1.45867634789864	2.62051813783374	2.89785875743044	2.9412258792549	2.55155391393566	2.61083222774214	3.09696063841959
"1110059E24Rik"	4.80606769759438	4.90051909363308	4.94766316919544	4.80786386114815	4.97885552543136	4.83749536250238	4.36937585755387	4.47391995085002	4.54453617805168	4.52010483894955	4.44566826948241	4.45779340201722
"1110059G10Rik"	2.23873212993305	2.55288416979718	2.42209817666841	2.2839238496181	2.30885717512315	2.41053812184608	2.84599397463668	2.65435431951272	2.60008906562859	2.65164962147117	2.42630334360014	2.41472300124997
"1110065P20Rik"	1.46283428907318	2.29013950131739	1.80439692677932	1.21345139145098	1.72369228277961	1.36359776310414	1.47627862899887	1.53239518176592	2.40868069958612	1.99437344259832	1.36630031886843	2.14223689381275
"1190002F15Rik"	7.1135638956088	7.10319799445741	7.18256552053796	6.82105645002222	6.8412642417206	6.91587130878549	6.25377021283502	6.54588617558327	6.28603825921467	5.75186510784187	5.94283115437776	6.30595911852945
"1190002N15Rik"	1.02091997666065	0.56816432232155	1.00089694534047	0.788599846018199	0.567888837851312	0.956563156488125	0.656599072204241	1.27294340349993	1.23141660878829	0.322571924144939	0.176836903958111	1.47031592904478
