© 2000-2022 QIAGEN. All rights reserved.

Expr Log Ratio	Expr False Discovery Rate (q-value)	ID	Flags	Symbol	Entrez Gene Name	Location	Type(s)	Drug(s)	
-0.532	1.76E-02	Abcc5	 	ABCC5	ATP binding cassette subfamily C member 5	Plasma Membrane	transporter	 	
-0.258	6.18E-02	Abcd1	 	ABCD1	ATP binding cassette subfamily D member 1	Plasma Membrane	transporter	 	
0.258	2.66E-01	Abcd3	 	ABCD3	ATP binding cassette subfamily D member 3	Cytoplasm	transporter	 	
-0.055	8.42E-01	Abcd4	 	ABCD4	ATP binding cassette subfamily D member 4	Cytoplasm	transporter	 	
0.423	1.61E-02	Abce1	 	ABCE1	ATP binding cassette subfamily E member 1	Cytoplasm	transporter	 	
0.162	1.63E-01	Abcf1	 	ABCF1	ATP binding cassette subfamily F member 1	Cytoplasm	transporter	 	
0.155	2.94E-01	Abcf2	 	ABCF2	ATP binding cassette subfamily F member 2	Cytoplasm	transporter	 	
0.153	2.35E-01	Abcf3	 	ABCF3	ATP binding cassette subfamily F member 3	Other	transporter	 	
0.218	4.06E-01	Abcg1	 	ABCG1	ATP binding cassette subfamily G member 1	Plasma Membrane	transporter	 	
0.519	1.07E-01	Abcg2	 	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Plasma Membrane	transporter	 	
0.131	6.59E-01	Abcg3	 	Abcg3	ATP binding cassette subfamily G member 3	Plasma Membrane	transporter	 	
0.005	9.75E-01	Abhd10	 	ABHD10	abhydrolase domain containing 10, depalmitoylase	Cytoplasm	enzyme	 	
0.273	5.60E-02	Abhd11	 	ABHD11	abhydrolase domain containing 11	Cytoplasm	enzyme	 	
-0.171	1.53E-01	Abhd12	 	ABHD12	abhydrolase domain containing 12, lysophospholipase	Plasma Membrane	enzyme	 	
-0.061	8.95E-01	Abhd13	 	ABHD13	abhydrolase domain containing 13	Other	peptidase	 	
0.195	5.00E-01	Abhd14a	 	ABHD14A	abhydrolase domain containing 14A	Cytoplasm	enzyme	 	
-0.660	2.52E-01	Abhd14b	 	ABHD14B	abhydrolase domain containing 14B	Cytoplasm	enzyme	 	
-1.393	5.69E-03	Abhd15	 	ABHD15	abhydrolase domain containing 15	Extracellular Space	other	 	
-0.328	4.36E-02	Abhd16a	 	ABHD16A	abhydrolase domain containing 16A, phospholipase	Other	enzyme	 	
-0.066	6.31E-01	Abhd17a	 	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	Plasma Membrane	enzyme	 	
0.097	7.14E-01	Abhd17b	 	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	Plasma Membrane	peptidase	 	
