gene	length	logFC	logCPM	F	PValue	FDR
Zfp788	3290	0.189141252	4.135768387	1.334089589	0.266961678	0.480181271
Cnbd2	6056	-0.415942219	1.168195982	1.333699239	0.267028661	0.48019394
Atp6v1e1	1217	-0.087642858	6.583724396	1.33355144	0.267054029	0.48019394
Jade3	5553	0.330784745	2.739284807	1.329717217	0.267713259	0.481302438
Trbj1-2	48	-0.434401104	2.804893146	1.328297211	0.26795796	0.481665451
Trmt112	1034	0.093749166	6.18146349	1.327693148	0.268062146	0.481775805
Ccdc12	2490	-0.10487135	7.069700195	1.326765977	0.268222166	0.481986456
Cep89	5456	-0.152182751	4.875313503	1.325770652	0.268394092	0.482218431
Apba3	3314	-0.135724487	4.789404251	1.325351861	0.268466476	0.482271515
Tax1bp3	1417	0.188088483	3.159581645	1.324558909	0.268603601	0.482440865
Srr	7869	-0.235388766	2.955903007	1.323335753	0.268815307	0.482590133
C87436	7171	-0.134523438	4.401902543	1.323597852	0.268769924	0.482590133
Rangap1	3211	0.132644515	7.723833036	1.323570096	0.268774729	0.482590133
Sharpin	1752	-0.088157356	6.304878199	1.322702139	0.268925062	0.482710196
Lenep	668	0.327808019	2.115569034	1.322033827	0.269040893	0.482771481
Leo1	2926	0.118174317	5.25672426	1.322010313	0.26904497	0.482771481
6820431F20Rik	4659	0.280915239	2.320003806	1.321425518	0.269146383	0.482876491
Cyfip2	17273	-0.116335152	8.318946342	1.320855792	0.269245232	0.482976868
LOC118567504	5650	-0.37418843	0.920276605	1.318794353	0.269603308	0.483542144
Slc22a15	6641	-0.229127907	3.449474933	1.317414779	0.269843301	0.483819568
H1f4	782	-0.183065521	4.950249229	1.317411114	0.269843939	0.483819568
Gm40346	4691	-0.691318223	0.67026656	1.316823001	0.269946336	0.483926091
Eid1	2544	-0.139018516	5.418938728	1.314934796	0.270275448	0.484438941
Bloc1s3	2030	-0.450705427	2.655849958	1.314217407	0.27040063	0.484519656
Spata2	5358	-0.131592761	5.442666189	1.314183459	0.270406555	0.484519656
Brf2	2511	0.187992871	3.52876639	1.31277893	0.270651874	0.48488205
Klf9	4481	0.656686801	0.120555101	1.311160077	0.270935	0.485157663
Tbc1d31	5179	-0.236337018	4.39283223	1.311487689	0.270877671	0.485157663
Ctcf	16978	-0.149540757	6.267070125	1.311229867	0.270922786	0.485157663
Irf6	4300	-0.252657439	2.299907668	1.309372373	0.271248121	0.485409529
Cenps	930	0.224993238	4.502590805	1.310098809	0.271120825	0.485409529
Mindy3	10041	0.105955099	5.758354416	1.3095367	0.271219319	0.485409529
Clptm1	4329	0.086702481	7.566617138	1.30949574	0.271226497	0.485409529
Tctn3	3597	0.18803323	3.273923725	1.308764472	0.271354708	0.48544594
Slc25a40	26119	-0.144496367	4.756958406	1.309010315	0.271311596	0.48544594
Rpusd3	1277	-0.166733348	4.160304221	1.308317165	0.271433173	0.485509161
Bbs2	3738	0.308970999	1.749345378	1.307211948	0.271627177	0.485640712
Nbas	12051	0.122726586	4.448752923	1.307160964	0.271636131	0.485640712
Ndufb7	533	0.090842504	7.70112223	1.307175807	0.271633524	0.485640712
Gdap10	2804	0.301784228	2.389882637	1.305919647	0.271854259	0.485921822
Tbc1d23	8971	-0.21890123	3.377959827	1.30577501	0.27187969	0.485921822
Ubtf	10407	0.099517408	7.436978166	1.305496607	0.271928651	0.485932183
Nfyc	4564	-0.093288115	6.322812182	1.304726151	0.272064207	0.486097261
Mbnl3	15261	0.14130868	6.117507304	1.302875985	0.272390102	0.486602311
Gnb2	4782	0.113916405	6.995569657	1.302404002	0.272473323	0.486673754
Mfsd2a	3168	0.342971756	2.77111215	1.300765335	0.272762524	0.487113022
Cep43	4982	0.130965855	5.671225996	1.300362593	0.272833665	0.487162792
Etv4	4515	0.590320286	0.315763521	1.299806638	0.272931912	0.487260936
Epb41	14414	-0.135942628	5.87806153	1.2984247	0.273176331	0.487482804
Lin37	1511	-0.111992799	5.688441922	1.298369554	0.273186091	0.487482804
Nme3	724	0.102282702	5.751647781	1.298551951	0.273153812	0.487482804
Cracr2a	12177	-0.139805442	4.269655126	1.29695697	0.273436248	0.487851867
Gm36402	7113	-0.331601907	1.66152511	1.296406947	0.273533737	0.487948472
Reck	4543	-0.290906552	2.452373953	1.296028807	0.273600787	0.487990757
Znrf2	2610	-0.149861286	4.660586538	1.294498081	0.273872437	0.488397893
1300002E11Rik	3960	-0.170888366	5.115630001	1.293731291	0.274008652	0.488563416
Gadd45g	1081	-0.335011366	2.85417667	1.292791225	0.274175774	0.488653441
Sap18b	801	0.250251981	2.380087175	1.29247084	0.274232763	0.488653441
Wasf2	5816	-0.122980819	6.9979046	1.292522577	0.274223559	0.488653441
Aco1	4407	0.116229355	5.763300811	1.292753114	0.274182552	0.488653441
Zfp110	7297	0.104049957	5.720816722	1.291773297	0.274356893	0.488797263
Wwp2	6561	-0.093813049	7.00544536	1.291269058	0.274446672	0.488879848
Sh3rf1	6087	0.186901489	4.046531741	1.290766102	0.274536263	0.48896207
Tspyl3	3072	-0.142068488	6.063645571	1.289820878	0.274704739	0.489184745
1810014B01Rik	1620	0.207685716	3.053198301	1.289316502	0.274794697	0.489267547
Prrg2	1502	0.348809737	1.052561882	1.288068249	0.275017499	0.489389056
Det1	5409	0.172381024	4.340372457	1.28853689	0.274933822	0.489389056
Aagab	5341	-0.103084785	6.027289257	1.287813068	0.275063077	0.489389056
Atxn7l3b	3599	0.096802756	6.749318728	1.288297348	0.274976589	0.489389056
Psmb4	949	0.081629269	7.581752654	1.287716687	0.275080294	0.489389056
Lin9	3303	0.120677335	4.581226371	1.287415336	0.275134136	0.489407505
Parp3	3298	-0.084119941	6.350127292	1.286054293	0.275377488	0.489762996
9430015G10Rik	2660	0.180610871	4.681197826	1.285280759	0.275515925	0.489931809
Rps4l	941	0.544377741	0.927614237	1.284770378	0.275607318	0.489958464
Stk26	3534	-0.1092027	5.588609564	1.284710981	0.275617957	0.489958464
Zbed6	5007	-0.351915633	1.753315048	1.283750714	0.27579003	0.489961914
Sfxn4	5035	0.322169421	1.663907952	1.284113418	0.275725019	0.489961914
Fbxo3	6260	-0.135920252	6.183599175	1.284346106	0.275683322	0.489961914
C1d	3348	0.089158742	6.985168469	1.283716273	0.275796204	0.489961914
Ddx47	1764	0.084961867	7.027320514	1.283485927	0.275837503	0.489961914
Fpgt	3869	0.19221572	4.397790247	1.282755431	0.275968531	0.490117325
