NAME	TITLE	SCORE	
NAA25		3.2097957	
PRPF19		3.2075374	
CHAC2		3.2069712	
USP14		3.205945	
COPS4		3.2030613	
NAF1		3.202347	
UTP15		3.2008846	
MTCH2		3.1837363	
EXOSC2		3.17954	
MRPL42		3.1783347	
UBIAD1		3.177922	
NUP54		3.1777596	
RAB11FIP5		3.1742475	
EIF2B1		3.1717181	
GAR1		3.1700208	
PRPF31		3.1682253	
DOHH		3.1645253	
TRMT5		3.1571293	
NLN		3.1566594	
CXCR3		3.1531973	
SCRN2		3.1510942	
IMPDH2		3.1444082	
PIN1		3.1424952	
SACM1L		3.1422029	
HDGF		3.1421793	
PLSCR1		3.137038	
MRPL20		3.1314716	
PRMT1		3.128174	
MRPS10		3.1142707	
XPOT		3.1106975	
GEMIN6		3.106204	
PSMA4		3.0986063	
PPIC		3.0977879	
VCAM1		3.0930886	
NCBP2		3.0930696	
SPR		3.0895522	
BTF3		3.088411	
CHSY1		3.0825768	
LAS1L		3.081577	
RPS5		3.0786116	
HIGD1A		3.073602	
NME6		3.0704477	
ACAA2		3.0699868	
SDHAF1		3.0678167	
EIF1AX		3.0654657	
FARSB		3.0640001	
NDUFAF6		3.060015	
PSMB6		3.059798	
ACADVL		3.0575562	
NUDT5		3.0517898	
RPL6		3.0444946	
WLS		3.0436926	
FARSA		3.040212	
SLC35A1		3.0335753	
DUS1L		3.033384	
ELP3		3.0322573	
RPP30		3.028394	
PDF		3.0281832	
ABI3		3.0213075	
CLPP		3.0159895	
DRG1		3.0147102	
ELL2		3.014076	
RPL14		3.0140193	
FAM111A		3.0101604	
1110032F04RIK		3.0097563	
TCP1		3.009083	
PRMT3		3.0083892	
HEMK1		3.0045547	
EBNA1BP2		3.003479	
RDH13		2.9992323	
ACY1		2.984402	
EIF3M		2.9776306	
SRSF7		2.9767566	
HMGN1		2.9748802	
ARHGAP24		2.9738996	
NUP35		2.9698281	
TXNL4A		2.967594	
9130401M01RIK		2.9664972	
SNX11		2.9653566	
EPB4.1L4AOS		2.9633417	
PFDN1		2.9633117	
NME2		2.9556746	
DIS3		2.955153	
MRPL39		2.9550679	
POLR2F		2.9488552	
FOXK2		2.9486022	
GPR25		2.9482417	
SLC25A15		2.9469888	
ALG3		2.9449184	
GBP7		2.9387605	
RPL29		2.9373746	
BC049352		2.9371498	
POLR1B		2.9345	
CLNS1A		2.9335432	
ABCB1B		2.9302788	
PSMD5		2.9300642	
TNFRSF1B		2.9295025	
TBL3		2.9290628	
SHMT2		2.928217	
HSP90AA1		2.9273252	
DDX21		2.9268064	
CHN2		2.9261124	
SFR1		2.9238544	
5430427O19RIK		2.9237552	
IL10RA		2.9218717	
CUL2		2.9173737	
TSR1		2.9159536	
ARMC6		2.913854	
CDK2AP1		2.9128027	
SOD2		2.9084058	
PDCD5		2.9063776	
POLR1A		2.905291	
CCT7		2.904268	
LSM2		2.900568	
PEBP1		2.8995337	
TLCD2		2.8965025	
TRNAU1AP		2.8963575	
PES1		2.8935664	
BOP1		2.8917933	
CPD		2.8889482	
PWP2		2.8871117	
NAMPT		2.8823318	
MRPL38		2.881499	
HES5		2.8794694	
SLC5A6		2.8659682	
POLR3D		2.8637447	
BCAM		2.8634915	
2310061I04RIK		2.8595066	
BRCC3		2.8571217	
ETF1		2.8532043	
SEC11C		2.8496668	
RPP38		2.8496246	
U2AF2		2.847628	
A430005L14RIK		2.8472226	
RAN		2.8468964	
CCDC148		2.845774	
TIMM50		2.8457444	
POLR1E		2.8454013	
ELAC2		2.8412015	
FAAP100		2.8388464	
ATXN1		2.8368144	
PITRM1		2.8310974	
NUFIP1		2.8304408	
NFKB2		2.8301907	
GEMIN4		2.8299608	
CDK4		2.8296611	
MRPL35		2.8266609	
NTMT1		2.821633	
PGD		2.8189244	
CTPS		2.8173037	
RPS6		2.8166792	
