© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules	
Synaptogenesis Signaling Pathway	5.33E-01	1.89E-02	-1.342	ADCY6,CACNB1,FGR,STX1A,SYT11,SYT13	
Lymphotoxin β Receptor Signaling	5.3E-01	3.64E-02	NaN	LTA,VCAM1	
Cardiac β-adrenergic Signaling	5.27E-01	2.25E-02	NaN	ADCY6,CACNA2D4,CACNB1,GNA15	
Oxidative Ethanol Degradation III	5.26E-01	3.57E-02	NaN	ACSS1,CYP2S1	
Tumor Microenvironment Pathway	5.26E-01	2.23E-02	0.000	FASLG,HLA-A,JUN,TGFB3	
Amyotrophic Lateral Sclerosis Signaling	5.21E-01	2.61E-02	NaN	CACNA2D4,CACNB1,CAPN2	
CD27 Signaling in Lymphocytes	5.2E-01	3.51E-02	NaN	CD27,JUN	
Role of Tissue Factor in Cancer	5.2E-01	2.59E-02	NaN	F2RL1,FGR,GNA15	
Pulmonary Fibrosis Idiopathic Signaling Pathway	5.2E-01	1.84E-02	0.000	AJUBA,JUN,SFTPC,TCF4,TGFB3,WNT10A	
Neuregulin Signaling	5.2E-01	2.56E-02	NaN	GRB7,ITGA7,MATK	
Dopamine-DARPP32 Feedback in cAMP Signaling	5.2E-01	2.19E-02	NaN	ADCY6,CACNA2D4,CACNB1,PLCB4	
MSP-RON Signaling Pathway	5.2E-01	3.45E-02	NaN	IFNG,KLK3	
Cholecystokinin/Gastrin-mediated Signaling	5.1E-01	2.52E-02	NaN	IL18,JUN,PLCB4	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	5.1E-01	1.56E-02	-0.632	BCL6,CD86,FASLG,HLA-A,HLA-DOB,ICOS,IL21,JUN,RORC,S1PR3	
Retinoic acid Mediated Apoptosis Signaling	5.09E-01	3.33E-02	NaN	IFNG,RXRA	
Neuroprotective Role of THOP1 in Alzheimer's Disease	5.09E-01	2.5E-02	NaN	HLA-A,IFNG,KLK3	
PCP (Planar Cell Polarity) Pathway	5.09E-01	3.33E-02	NaN	JUN,WNT10A	
Estrogen Receptor Signaling	5.09E-01	1.72E-02	-2.236	ADCY6,CACNA2D4,CACNB1,GNA15,JUN,PLCB4,RUNX2	
IL-2 Signaling	5.02E-01	3.28E-02	NaN	IL2RA,JUN	
IL-15 Production	4.99E-01	2.44E-02	NaN	FGR,KIT,MATK	
Semaphorin Signaling in Neurons	4.99E-01	3.23E-02	NaN	CRMP1,NRP1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	4.99E-01	2.09E-02	1.000	IFNG,IRF8,JUN,NCF1	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	4.99E-01	1.63E-02	NaN	CD86,FASLG,HLA-A,HLA-DOB,IFNG,IL18,IL21,LTA	
Acyl-CoA Hydrolysis	4.99E-01	7.14E-02	NaN	ACOT11	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	4.99E-01	2.08E-02	0.000	FASLG,JUN,LTA,TGFB3	
Choline Biosynthesis III	4.75E-01	6.67E-02	NaN	HMOX1	
G Beta Gamma Signaling	4.7E-01	2.33E-02	NaN	CACNA2D4,CACNB1,GNA15	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	4.7E-01	3.03E-02	NaN	IFNG,PLAC8	
CD40 Signaling	4.66E-01	2.99E-02	NaN	JUN,LTA	
fMLP Signaling in Neutrophils	4.66E-01	2.29E-02	NaN	GNA15,NCF1,PLCB4	
Atherosclerosis Signaling	4.66E-01	2.29E-02	NaN	IFNG,IL18,VCAM1	
Type I Diabetes Mellitus Signaling	4.66E-01	1.57E-02	1.342	CD86,FASLG,HLA-A,HLA-DOB,IFNG,IL1R1,LTA,SOCS3	
Extrinsic Prothrombin Activation Pathway	4.66E-01	6.25E-02	NaN	SERPINC1	
Remodeling of Epithelial Adherens Junctions	4.63E-01	2.94E-02	NaN	TUBB2B,TUBB6	
P2Y Purigenic Receptor Signaling Pathway	4.62E-01	2.26E-02	NaN	ADCY6,JUN,PLCB4	
Gustation Pathway	4.62E-01	1.97E-02	-2.000	ADCY6,CACNA2D4,CACNB1,GABRR2	
RAR Activation	4.61E-01	1.96E-02	NaN	ADCY6,JUN,RXRA,TGFB3	
HIF1α Signaling	4.42E-01	1.92E-02	-1.000	HMOX1,JUN,NCF1,RORC	
Melatonin Signaling	4.41E-01	2.78E-02	NaN	PLCB4,RORC	
Basal Cell Carcinoma Signaling	4.41E-01	2.78E-02	NaN	TCF4,WNT10A	
RAC Signaling	4.41E-01	2.17E-02	NaN	ITGA7,JUN,NCF1	
Phagosome Formation	4.33E-01	1.45E-02	-1.265	F2RL1,FGR,GABBR1,GPR146,GPR25,HMOX1,ITGA7,S1PR1,S1PR3,VIPR1	
MSP-RON Signaling In Cancer Cells Pathway	4.33E-01	2.14E-02	NaN	JUN,KLK3,TCF4	
Integrin Signaling	4.31E-01	1.88E-02	NaN	CAPN2,GRB7,ITGA7,TSPAN5	
Xenobiotic Metabolism Signaling	4.27E-01	1.72E-02	NaN	AHR,CHST10,CHST15,HMOX1,RXRA	
Caveolar-mediated Endocytosis Signaling	4.25E-01	2.67E-02	NaN	HLA-A,ITGA7	
Xenobiotic Metabolism General Signaling Pathway	4.23E-01	2.1E-02	NaN	AHR,HMOX1,RXRA	
Inflammasome pathway	4.13E-01	5E-02	NaN	IL18	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	4.13E-01	2.6E-02	NaN	IFNG,JUN	
Maturity Onset Diabetes of Young (MODY) Signaling	4.12E-01	2.56E-02	NaN	CACNA2D4,CACNB1	
Toll-like Receptor Signaling	4.12E-01	2.56E-02	NaN	IL18,JUN	
Neurotrophin/TRK Signaling	4.12E-01	2.56E-02	NaN	JUN,KLK3	
Endocannabinoid Cancer Inhibition Pathway	4.12E-01	2.04E-02	NaN	ADCY6,TCF4,TRIB3	
Dilated Cardiomyopathy Signaling Pathway	4.1E-01	2.03E-02	NaN	ADCY6,CACNA2D4,CACNB1	
Glutaryl-CoA Degradation	4.1E-01	4.76E-02	NaN	CYP2S1	
Fatty Acid α-oxidation	4.1E-01	4.76E-02	NaN	BCO2	
Role of BRCA1 in DNA Damage Response	4.08E-01	2.5E-02	NaN	FANCF,IFNG	
Chemokine Signaling	4.08E-01	2.5E-02	NaN	JUN,PLCB4	
PTEN Signaling	4.07E-01	2E-02	NaN	BCL2L11,FASLG,ITGA7	
Semaphorin Neuronal Repulsive Signaling Pathway	4.03E-01	1.99E-02	NaN	CRMP1,ITGA7,NRP1	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	3.95E-01	4.35E-02	NaN	IFNG	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	3.95E-01	4.35E-02	NaN	CMPK2	
Vitamin-C Transport	3.95E-01	4.35E-02	NaN	GJB2	
Apelin Cardiac Fibroblast Signaling Pathway	3.95E-01	4.35E-02	NaN	TGFB3	
Relaxin Signaling	3.95E-01	1.94E-02	NaN	ADCY6,GNA15,JUN	
TR/RXR Activation	3.95E-01	2.38E-02	NaN	BCL3,RXRA	
PEDF Signaling	3.95E-01	2.38E-02	NaN	FASLG,TCF4	
FcγRIIB Signaling in B Lymphocytes	3.89E-01	2.35E-02	NaN	CACNA2D4,CACNB1	
IL-22 Signaling	3.89E-01	4.17E-02	NaN	SOCS3	
Tumoricidal Function of Hepatic Natural Killer Cells	3.89E-01	4.17E-02	NaN	FASLG	
