"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"6158"	"Pa2g4"	2432	1.76963623203905	7.74790792715537	220.967726552445	3.8312440457283e-10	2.73920917827241e-08
"8516"	"Srsf6"	3546	0.931163235804345	8.16626980221537	220.449075720129	3.8928999624215e-10	2.76448504088175e-08
"1633"	"Cct7"	2452	1.15102714048464	9.0468737372599	219.816045600984	3.96968987634896e-10	2.80009668459246e-08
"2473"	"Dek"	2602	1.31506809234371	7.78228198283266	219.045674626799	4.06547742301432e-10	2.84854451439203e-08
"9647"	"Uchl3"	930	1.45940882957329	6.88329029480364	217.860518952517	4.2180241558693e-10	2.93491356779911e-08
"8963"	"Timm23"	1162	1.08841135597221	7.23955827342478	217.659086843648	4.2445943130872e-10	2.93491356779911e-08
"1246"	"Bcl6"	3285	-2.44668300571409	5.92165026237185	217.276076892861	4.2956431980223e-10	2.95079803994865e-08
"9592"	"Ube2h"	4779	-1.52077273145829	6.24682792421555	215.561503342764	4.53290691561914e-10	3.09356179760761e-08
"8183"	"Slc41a3"	2657	-2.06994503396491	4.06382650370468	214.471052185813	4.69156125986899e-10	3.18118121556278e-08
"9435"	"Tspan32"	1826	-1.33725287899764	8.6039154323881	214.222814243397	4.72855625749733e-10	3.18571322219852e-08
"117"	"2310001H17Rik"	769	-2.31439281331015	6.7691236632731	213.070898310007	4.90463257363756e-10	3.28329225152425e-08
"8888"	"Tfdp1"	2625	2.04942154404868	7.3985843764276	212.779633767515	4.95032868327129e-10	3.29015503516806e-08
"6644"	"Pold1"	3424	1.78856745120427	7.21730031036935	212.607928954512	4.97749429678136e-10	3.29015503516806e-08
"3987"	"Hcst"	442	-2.40384421347025	7.80794551128671	211.750787460588	5.11566830573857e-10	3.31089453782216e-08
"2240"	"Ctps"	2705	2.00118277716396	6.28373831838959	211.618165928663	5.13743515501729e-10	3.31089453782216e-08
"3721"	"Gmnn"	977	1.92347757431527	6.64490113156051	211.653608276322	5.13160777981067e-10	3.31089453782216e-08
"5704"	"Ncl"	8257	1.4858647337082	9.51599383886408	211.951793829611	5.08287752604219e-10	3.31089453782216e-08
"2879"	"Eif5a"	2017	1.31213932659652	10.3942567316469	211.442788406428	5.16638158137806e-10	3.31089453782216e-08
"861"	"Arhgap25"	4263	-1.1976006413334	7.29861819936684	211.209322234735	5.20520430224426e-10	3.31555740706589e-08
"2754"	"E2f4"	1993	1.57190794894002	7.1797716132445	210.423067914133	5.33841379068539e-10	3.35968436767086e-08
"3929"	"H2-D1"	1736	-1.12281733187311	10.3403761097379	210.517763449653	5.32216633778191e-10	3.35968436767086e-08
"4338"	"Il27ra"	2658	-1.28225361970137	8.19883312224241	210.053045500236	5.4024444783344e-10	3.37974353971991e-08
"6973"	"Psme3"	2619	1.2396561551934	8.16318518103426	209.801453984086	5.44648074103451e-10	3.387130922383e-08
"7727"	"Sac3d1"	1374	1.83614178690093	4.81419716396523	209.191011586514	5.5550363777593e-10	3.41166524646126e-08
