"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"2659"	"Dtx3"	3420	-2.06128676484905	5.63869609371372	297.168000116184	5.4788772006729e-11	1.36941243111037e-08
"9087"	"Srsf1"	6434	1.82576234238457	8.21610978135066	292.026214491883	6.17557071821217e-11	1.36941243111037e-08
"4138"	"Grina"	2110	-1.76432968851338	6.16739284127296	291.833431253725	6.20359157813366e-11	1.36941243111037e-08
"7993"	"Rnf167"	2089	-1.62731014873562	7.06751542549507	292.18798189504	6.1521692266954e-11	1.36941243111037e-08
"4500"	"Hspa4"	4640	1.62396382863944	7.92201667091951	296.250238206797	5.59637885584214e-11	1.36941243111037e-08
"6699"	"Parp3"	3298	-1.27243453319329	6.35012729180916	293.542865128631	5.96008834525221e-11	1.36941243111037e-08
"5024"	"Kpnb1"	5909	1.27022159129754	6.89859152127651	293.618134727384	5.94961945554981e-11	1.36941243111037e-08
"9255"	"Suv39h1"	4099	1.98705838498682	6.6091300410749	289.161868448001	6.60720362890379e-11	1.38217770693482e-08
"7961"	"Rnaseh2b"	1498	1.54488824314251	6.13153200463581	290.236085836813	6.44142043735434e-11	1.38217770693482e-08
"6310"	"Nhp2"	1112	1.27577748938263	7.23078609795966	289.018224234065	6.62973851256707e-11	1.38217770693482e-08
"8925"	"Snrpd1"	837	1.5063231129231	7.32859927724805	288.058383497406	6.78258575740702e-11	1.3883336446707e-08
"4603"	"Igflr1"	1186	-3.04443103743474	6.68673332442388	284.325038910586	7.41650937736106e-11	1.49098326018448e-08
"3127"	"Fam214a"	26478	-1.76868297152682	4.9693037244685	283.417967653396	7.58055653937639e-11	1.49722641263683e-08
"10366"	"Uchl5"	2025	1.66628771406038	6.75265520767853	280.747399156848	8.08806691431275e-11	1.56992167795402e-08
"10776"	"Zbtb20"	47537	-3.30259973220981	4.5605005164036	279.239873852847	8.39159975792828e-11	1.60123101821621e-08
"4317"	"Hbp1"	5405	-2.09336844684286	4.91221516920275	273.688243781892	9.62688621759138e-11	1.66234036338475e-08
"2281"	"Cyth3"	4376	-2.03334672797931	5.51493486893093	274.97790615951	9.32242297413437e-11	1.66234036338475e-08
"2786"	"Egr2"	9083	-2.02916419845117	6.09528105747057	273.688384022137	9.62685249940868e-11	1.66234036338475e-08
"5176"	"Lap3"	2267	1.86878964755705	5.80440920542899	272.598018803438	9.89312527507355e-11	1.66234036338475e-08
"7703"	"Ran"	2308	1.828569868786	9.80819639613424	273.222871753749	9.73952118221404e-11	1.66234036338475e-08
"7111"	"Pmm1"	1381	1.78954471705919	4.26308587479951	272.921386376162	9.81329174363813e-11	1.66234036338475e-08
"3289"	"Fkbp4"	2196	1.75134387744905	7.6226780747582	274.699495671235	9.38721010158453e-11	1.66234036338475e-08
"9430"	"Tdp1"	8459	1.46936304719221	6.17051847348685	272.615051790785	9.88890172475272e-11	1.66234036338475e-08
"2157"	"Cse1l"	3659	1.76398897664916	7.17097665025911	271.611574861109	1.01412702745761e-10	1.67897677575261e-08
"10746"	"Ypel3"	1192	-2.77187332783493	7.46515460358587	269.306360218749	1.07493088413148e-10	1.71495936148104e-08
"6272"	"Neurl3"	2968	-2.3518920513271	6.05105542130908	268.513573277607	1.09679404891308e-10	1.71495936148104e-08
